id;cat_inicio;cat_fim;descricao
1;A00;B99;I - Algumas doenças infecciosas e parasitárias
2;C00;D48;II - Neoplasias [tumores]
3;D50;D89;III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários
4;E00;E90;IV.  Doenças endócrinas nutricionais e metabólicas
5;F00;F99;V - Transtornos mentais e comportamentais
6;G00;G99;VI - Doenças do sistema nervoso
7;H00;H59;VII - Doenças do olho e anexos
8;H60;H95;VIII - Doenças do ouvido e da apófise mastóide
9;I00;I99;IX - Doenças do aparelho circulatório
10;J00;J99;X - Doenças do aparelho respiratório
11;K00;K93;XI - Doenças do aparelho digestivo
12;L00;L99;XII - Doenças da pele e do tecido subcutâneo
13;M00;M99;XIII - Doenças do sistema osteomuscular e do tecido conjuntivo
14;N00;N99;XIV - Doenças do aparelho geniturinário
15;O00;O99;XV.  Gravidez parto e puerpério
16;P00;P96;XVI - Algumas afecções originadas no período perinatal
17;Q00;Q99;XVII - Malformações congênitas, deformidades e anomalias cromossômicas
18;R00;R99;XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte
19;S00;T98;XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas
20;V01;Y98;XX - Causas externas de morbidade e de mortalidade
21;Z00;Z99;XXI - Fatores que influenciam o estado de saúde e o contato com os serviços de saúde
22;U04;U99;XXII - Códigos para propósitos especiais
