CATEGORIA_ID's;GRUPOS;CATEGORIAS
A00;A00 A09 Doenças infecciosas intestinais;A00 Cólera
A01;A00 A09 Doenças infecciosas intestinais;A01 Febres tifóide e paratifóide
A02;A00 A09 Doenças infecciosas intestinais;A02 Outras infecções por Salmonella
A03;A00 A09 Doenças infecciosas intestinais;A03 Shiguelose
A04;A00 A09 Doenças infecciosas intestinais;A04 Outras infecções intestinais bacterianas
A05;A00 A09 Doenças infecciosas intestinais;A05 Outras intoxicações alimentares bacterianas
A06;A00 A09 Doenças infecciosas intestinais;A06 Amebíase
A07;A00 A09 Doenças infecciosas intestinais;A07 Outras doenças intestinais por protozoários
A08;A00 A09 Doenças infecciosas intestinais;A08 Infecções intestinais virais
A09;A00 A09 Doenças infecciosas intestinais;A09 Diarréia e gastroenterite de origem infecciosa presumível
A15;A15 A19 Tuberculose;A15 Tuberculose respiratória
A16;A15 A19 Tuberculose;A16 Tuberculose das vias respiratórias
A17;A15 A19 Tuberculose;A17 Tuberculose do sistema nervoso
A18;A15 A19 Tuberculose;A18 Tuberculose de outros órgãos
A19;A15 A19 Tuberculose;A19 Tuberculose miliar
A20;A20 A28 Algumas doenças bacterianas zoonóticas;A20 Peste
A21;A20 A28 Algumas doenças bacterianas zoonóticas;A21 Tularemia
A22;A20 A28 Algumas doenças bacterianas zoonóticas;A22 Carbúnculo
A23;A20 A28 Algumas doenças bacterianas zoonóticas;A23 Brucelose
A24;A20 A28 Algumas doenças bacterianas zoonóticas;A24 Mormo e melioidose
A25;A20 A28 Algumas doenças bacterianas zoonóticas;A25 Febres transmitidas por mordedura de rato
A26;A20 A28 Algumas doenças bacterianas zoonóticas;A26 Erisipelóide
A27;A20 A28 Algumas doenças bacterianas zoonóticas;A27 Leptospirose
A28;A20 A28 Algumas doenças bacterianas zoonóticas;A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte
A30;A30 A49 Outras doenças bacterianas;A30 Hanseníase [doença de Hansen] [lepra]
A31;A30 A49 Outras doenças bacterianas;A31 Infecções devidas a outras micobactérias
A32;A30 A49 Outras doenças bacterianas;A32 Listeriose [listeríase]
A33;A30 A49 Outras doenças bacterianas;A33 Tétano do recém-nascido [neonatal]
A34;A30 A49 Outras doenças bacterianas;A34 Tétano obstétrico
A35;A30 A49 Outras doenças bacterianas;A35 Outros tipos de tétano
A36;A30 A49 Outras doenças bacterianas;A36 Difteria
A37;A30 A49 Outras doenças bacterianas;A37 Coqueluche
A38;A30 A49 Outras doenças bacterianas;A38 Escarlatina
A39;A30 A49 Outras doenças bacterianas;A39 Infecção meningogócica
A40;A30 A49 Outras doenças bacterianas;A40 Septicemia estreptocócica
A41;A30 A49 Outras doenças bacterianas;A41 Outras septicemias
A42;A30 A49 Outras doenças bacterianas;A42 Actinomicose
A43;A30 A49 Outras doenças bacterianas;A43 Nocardiose
A44;A30 A49 Outras doenças bacterianas;A44 Bartonelose
A46;A30 A49 Outras doenças bacterianas;A46 Erisipela
A48;A30 A49 Outras doenças bacterianas;A48 Outras doenças bacterianas não classificadas em outra parte
A49;A30 A49 Outras doenças bacterianas;A49 Infecção bacteriana de localização não especificada
A50;A50 A64 Infecções de transmissão predominantemente sexual;A50 Sífilis congênita
A51;A50 A64 Infecções de transmissão predominantemente sexual;A51 Sífilis precoce
A52;A50 A64 Infecções de transmissão predominantemente sexual;A52 Sífilis tardia
A53;A50 A64 Infecções de transmissão predominantemente sexual;A53 Outras formas e as não especificadas da sífilis
A54;A50 A64 Infecções de transmissão predominantemente sexual;A54 Infecção gonocócica
A55;A50 A64 Infecções de transmissão predominantemente sexual;A55 Linfogranuloma (venéreo) por clamídia
A56;A50 A64 Infecções de transmissão predominantemente sexual;A56 Outras infecções causadas por clamídias transmitidas por via sexual
A57;A50 A64 Infecções de transmissão predominantemente sexual;A57 Cancro mole
A58;A50 A64 Infecções de transmissão predominantemente sexual;A58 Granuloma inguinal
A59;A50 A64 Infecções de transmissão predominantemente sexual;A59 Tricomoníase
A60;A50 A64 Infecções de transmissão predominantemente sexual;A60 Infecções anogenitais pelo vírus do herpes [herpes simples]
A63;A50 A64 Infecções de transmissão predominantemente sexual;A63 Outras doenças de transmissão predominantemente sexual
A64;A50 A64 Infecções de transmissão predominantemente sexual;A64 Doenças sexualmente transmitidas
A65;A65 A69 Outras doenças por espiroquetas;A65 Sífilis não-venérea
A66;A65 A69 Outras doenças por espiroquetas;A66 Bouba
A67;A65 A69 Outras doenças por espiroquetas;A67 Pinta [carate]
A68;A65 A69 Outras doenças por espiroquetas;A68 Febres recorrentes [Borrelioses]
A69;A65 A69 Outras doenças por espiroquetas;A69 Outras infecções por espiroquetas
A70;A70 A74 Outras doenças causadas por clamídias;A70 Infecções causadas por Clamídia psittaci
A71;A70 A74 Outras doenças causadas por clamídias;A71 Tracoma
A74;A70 A74 Outras doenças causadas por clamídias;A74 Outras doenças causadas por Clamídias
A75;A75 A79 Rickettsioses;A75 Tifo exantemático
A77;A75 A79 Rickettsioses;A77 Febre maculosa [rickettsioses transmitidas por carrapatos]
A78;A75 A79 Rickettsioses;A78 Febre Q
A79;A75 A79 Rickettsioses;A79 Outras rickettsioses
A80;A80 A89 Infecções virais do sistema nervoso central;A80 Poliomielite aguda
A81;A80 A89 Infecções virais do sistema nervoso central;A81 Infecções por vírus atípicos do sistema nervoso central
A82;A80 A89 Infecções virais do sistema nervoso central;A82 Raiva
A83;A80 A89 Infecções virais do sistema nervoso central;A83 Encefalite por vírus transmitidos por mosquitos
A84;A80 A89 Infecções virais do sistema nervoso central;A84 Encefalite por vírus transmitido por carrapatos
A85;A80 A89 Infecções virais do sistema nervoso central;A85 Outras encefalites virais
A86;A80 A89 Infecções virais do sistema nervoso central;A86 Encefalite viral
A87;A80 A89 Infecções virais do sistema nervoso central;A87 Meningite viral
A88;A80 A89 Infecções virais do sistema nervoso central;A88 Outras infecções virais do sistema nervoso central não classificadas em outra parte
A89;A80 A89 Infecções virais do sistema nervoso central;A89 Infecções virais não especificadas do sistema nervoso central
A90;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A90 Dengue [dengue clássico]
A91;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A91 Febre hemorrágica devida ao vírus do dengue
A92;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A92 Outras febres virais transmitidas por mosquitos
A93;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A93 Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
A94;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A94 Febre viral transmitida por artrópodes
A95;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A95 Febre amarela
A96;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A96 Febre hemorrágica por arenavírus
A98;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A98 Outras febres hemorrágicas por vírus
A99;A90 A99 Febres por arbovírus e febres hemorrágicas virais;A99 Febres hemorrágicas virais não especificadas
B00;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B00 Infecções pelo vírus do herpes [herpes simples]
B01;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B01 Varicela [idapora]
B02;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B02 Herpes zoster [Zona]
B03;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B03 Varíola
B04;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B04 Varíola dos macacos [Monkeypox]
B05;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B05 Sarampo
B06;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B06 Rubéola
B07;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B07 Verrugas de origem viral
B08;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B08 Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas
B09;B00 B09 Infecções virais caracterizadas por lesões de pele e mucosas;B09 Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
B15;B15 B19 Hepatite viral;B15 Hepatite aguda A
B16;B15 B19 Hepatite viral;B16 Hepatite aguda B
B17;B15 B19 Hepatite viral;B17 Outras hepatites virais agudas
B18;B15 B19 Hepatite viral;B18 Hepatite viral crônica
B19;B15 B19 Hepatite viral;B19 Hepatite viral não especificada
B20;B20 B24 Doença pelo vírus da imunodeficiência humana [HIV];B20 Doença pelo vírus da imunodeficiência humana [HIV]
B21;B20 B24 Doença pelo vírus da imunodeficiência humana [HIV];B21 Doença pelo vírus da imunodeficiência humana [HIV]
B22;B20 B24 Doença pelo vírus da imunodeficiência humana [HIV];B22 Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
B23;B20 B24 Doença pelo vírus da imunodeficiência humana [HIV];B23 Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
B24;B20 B24 Doença pelo vírus da imunodeficiência humana [HIV];B24 Doença pelo vírus da imunodeficiência humana [HIV] não especificada
B25;B25 B34 Outras doenças por vírus;B25 Doença por citomegalovírus
B26;B25 B34 Outras doenças por vírus;B26 Caxumba [Parotidite epidêmica]
B27;B25 B34 Outras doenças por vírus;B27 Mononucleose infecciosa
B30;B25 B34 Outras doenças por vírus;B30 Conjuntivite viral
B33;B25 B34 Outras doenças por vírus;B33 Outras doenças por vírus não classificada em outra parte
B34;B25 B34 Outras doenças por vírus;B34 Doenças por vírus
B35;B35 B49 Micoses;B35 Dermatofitose
B36;B35 B49 Micoses;B36 Outras micoses superficiais
B37;B35 B49 Micoses;B37 Candidíase
B38;B35 B49 Micoses;B38 Coccidioidomicose
B39;B35 B49 Micoses;B39 Histoplasmose
B40;B35 B49 Micoses;B40 Blastomicose
B41;B35 B49 Micoses;B41 Paracoccidioidomicose
B42;B35 B49 Micoses;B42 Esporotricose
B43;B35 B49 Micoses;B43 Cromomicose e abscesso feomicótico
B44;B35 B49 Micoses;B44 Aspergilose
B45;B35 B49 Micoses;B45 Criptococose
B46;B35 B49 Micoses;B46 Zigomicose
B47;B35 B49 Micoses;B47 Micetoma
B48;B35 B49 Micoses;B48 Outras micoses
B49;B35 B49 Micoses;B49 Micose não especificada
B50;B50 B64 Doenças devidas a protozoários;B50 Malária por Plasmodium falciparum
B51;B50 B64 Doenças devidas a protozoários;B51 Malária por Plasmodium vivax
B52;B50 B64 Doenças devidas a protozoários;B52 Malária por Plasmodium malariae
B53;B50 B64 Doenças devidas a protozoários;B53 Outras formas de malária confirmadas por exames parasitológicos
B54;B50 B64 Doenças devidas a protozoários;B54 Malária não especificada
B55;B50 B64 Doenças devidas a protozoários;B55 Leishmaniose
B56;B50 B64 Doenças devidas a protozoários;B56 Tripanossomíase africana
B57;B50 B64 Doenças devidas a protozoários;B57 Doença de Chagas
B58;B50 B64 Doenças devidas a protozoários;B58 Toxoplasmose
B59;B50 B64 Doenças devidas a protozoários;B59 Pneumocistose
B60;B50 B64 Doenças devidas a protozoários;B60 Outras doenças devidas a protozoários
B64;B50 B64 Doenças devidas a protozoários;B64 Doença não especificada devida a protozoários
B65;B65 B83 Helmintíases;B65 Esquistossomose [bilharziose] [Schistosomíase]
B66;B65 B83 Helmintíases;B66 Outras infestações por trematódeos
B67;B65 B83 Helmintíases;B67 Equinococose
B68;B65 B83 Helmintíases;B68 Infestação por Taenia
B69;B65 B83 Helmintíases;B69 Cisticercose
B70;B65 B83 Helmintíases;B70 Difilobotríase e esparganose
B71;B65 B83 Helmintíases;B71 Outras infestações por cestóides
B72;B65 B83 Helmintíases;B72 Dracontíase
B73;B65 B83 Helmintíases;B73 Oncocercose
B74;B65 B83 Helmintíases;B74 Filariose
B75;B65 B83 Helmintíases;B75 Triquinose
B76;B65 B83 Helmintíases;B76 Ancilostomíase
B77;B65 B83 Helmintíases;B77 Ascaridíase
B78;B65 B83 Helmintíases;B78 Estrongiloidíase
B79;B65 B83 Helmintíases;B79 Tricuríase
B80;B65 B83 Helmintíases;B80 Oxiuríase
B81;B65 B83 Helmintíases;B81 Outras helmintíases intestinais
B82;B65 B83 Helmintíases;B82 Parasitose intestinal não especificada
B83;B65 B83 Helmintíases;B83 Outras helmintíases
B85;B85 B89 Pediculose;B85 Pediculose e ftiríase
B86;B85 B89 Pediculose;B86 Escabiose [sarna]
B87;B85 B89 Pediculose;B87 Miíase
B88;B85 B89 Pediculose;B88 Outras infestações
B89;B85 B89 Pediculose;B89 Doença parasitária não especificada
B90;B90 B94 Seqüelas de doenças infecciosas e parasitárias;B90 Seqüelas de tuberculose
B91;B90 B94 Seqüelas de doenças infecciosas e parasitárias;B91 Seqüelas de poliomielite
B92;B90 B94 Seqüelas de doenças infecciosas e parasitárias;B92 Seqüelas de hanseníase [lepra]
B94;B90 B94 Seqüelas de doenças infecciosas e parasitárias;B94 Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
B95;B95 B97 Agentes de infecções bacterianas;B95 Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos
B96;B95 B97 Agentes de infecções bacterianas;B96 Outros agentes bacterianos
B97;B95 B97 Agentes de infecções bacterianas;B97 Vírus como causa de doenças classificadas em outros capítulos
B99;B99 B99 Outras doenças infecciosas;B99 Doenças infecciosas
C00;C00 C97 Neoplasias [tumores] malignas(os);C00 Neoplasia maligna do lábio
C01;C00 C97 Neoplasias [tumores] malignas(os);C01 Neoplasia maligna da base da língua
C02;C00 C97 Neoplasias [tumores] malignas(os);C02 Neoplasia maligna de outras partes e de partes não especificadas da língua
C03;C00 C97 Neoplasias [tumores] malignas(os);C03 Neoplasia maligna da gengiva
C04;C00 C97 Neoplasias [tumores] malignas(os);C04 Neoplasia maligna do assoalho da boca
C05;C00 C97 Neoplasias [tumores] malignas(os);C05 Neoplasia maligna do palato
C06;C00 C97 Neoplasias [tumores] malignas(os);C06 Neoplasia maligna de outras partes e de partes não especificadas da boca
C07;C00 C97 Neoplasias [tumores] malignas(os);C07 Neoplasia maligna da glândula parótida
C08;C00 C97 Neoplasias [tumores] malignas(os);C08 Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
C09;C00 C97 Neoplasias [tumores] malignas(os);C09 Neoplasia maligna da amígdala
C10;C00 C97 Neoplasias [tumores] malignas(os);C10 Neoplasia maligna da orofaringe
C11;C00 C97 Neoplasias [tumores] malignas(os);C11 Neoplasia maligna da nasofaringe
C12;C00 C97 Neoplasias [tumores] malignas(os);C12 Neoplasia maligna do seio piriforme
C13;C00 C97 Neoplasias [tumores] malignas(os);C13 Neoplasia maligna da hipofaringe
C14;C00 C97 Neoplasias [tumores] malignas(os);C14 Neoplasia maligna de outras localizações e de localizações mal definida
C15;C00 C97 Neoplasias [tumores] malignas(os);C15 Neoplasia maligna do esôfago
C16;C00 C97 Neoplasias [tumores] malignas(os);C16 Neoplasia maligna do estômago
C17;C00 C97 Neoplasias [tumores] malignas(os);C17 Neoplasia maligna do intestino delgado
C18;C00 C97 Neoplasias [tumores] malignas(os);C18 Neoplasia maligna do cólon
